League,Player Link,Player,Position,Age,Country,Join,Market Value,Club,Year
Bundesliga,https://www.transfermarkt.co.uk/konrad-laimer/profil/spieler/223967,Konrad Laimer,Central Midfield,24.0,Austria,1826.0,26.0,RB Leipzig,2021
Bundesliga,https://www.transfermarkt.co.uk/steven-zuber/profil/spieler/68033,Steven Zuber,Left Winger,29.0,Switzerland,696.0,2.5,Eintracht Frankfurt,2021
Bundesliga,https://www.transfermarkt.co.uk/steven-skrzybski/profil/spieler/93827,Steven Skrzybski,Centre-Forward,28.0,Germany,1461.0,1.5, Schalke 04,2021
Bundesliga,https://www.transfermarkt.co.uk/eric-martel/profil/spieler/597000,Eric Martel,Defensive Midfield,19.0,Germany,533.0,1.8,RB Leipzig,2021
Bundesliga,https://www.transfermarkt.co.uk/frederik-sorensen/profil/spieler/91716,Frederik Sorensen,Centre-Back,29.0,Denmark,2547.0,0.65,1. Koln,2021
Bundesliga,https://www.transfermarkt.co.uk/lucas-holer/profil/spieler/248999,Lucas Holer,Centre-Forward,26.0,Germany,1642.0,4.0,SC Freiburg,2021
Bundesliga,https://www.transfermarkt.co.uk/benjamin-uphoff/profil/spieler/120296,Benjamin Uphoff,Goalkeeper,27.0,Germany,695.0,0.5,SC Freiburg,2021
Bundesliga,https://www.transfermarkt.co.uk/niclas-fullkrug/profil/spieler/75489,Niclas Fullkrug,Centre-Forward,28.0,Germany,1096.0,4.0,SV Werder Bremen,2021
Bundesliga,https://www.transfermarkt.co.uk/filip-kostic/profil/spieler/161011,Filip Kostic,Left Midfield,28.0,Serbia,1096.0,35.0,Eintracht Frankfurt,2021
Bundesliga,https://www.transfermarkt.co.uk/niclas-thiede/profil/spieler/348778,Niclas Thiede,Goalkeeper,22.0,Germany,1096.0,0.2,SC Freiburg,2021
Bundesliga,https://www.transfermarkt.co.uk/jonathan-tah/profil/spieler/196357,Jonathan Tah,Centre-Back,25.0,Germany,2542.0,22.0,Bayer 04 Leverkusen,2021
Bundesliga,https://www.transfermarkt.co.uk/ermedin-demirovic/profil/spieler/335457,Ermedin Demirovic,Centre-Forward,23.0,Bosnia-Herzegovina,695.0,12.0,SC Freiburg,2021
Bundesliga,https://www.transfermarkt.co.uk/nassim-boujellab/profil/spieler/346332,Nassim Boujellab,Central Midfield,22.0,Morocco,1182.0,1.2, Schalke 04,2021
Bundesliga,https://www.transfermarkt.co.uk/vladimir-darida/profil/spieler/179643,Vladimir Darida,Central Midfield,30.0,Czech Republic,2540.0,3.5,Hertha,2021
Bundesliga,https://www.transfermarkt.co.uk/luca-itter/profil/spieler/296378,Luca Itter,Left-Back,22.0,Germany,1096.0,1.3,SC Freiburg,2021
Bundesliga,https://www.transfermarkt.co.uk/serge-gnabry/profil/spieler/159471,Serge Gnabry,Right Winger,25.0,Germany,1826.0,70.0,Bayern Munich,2021
Bundesliga,https://www.transfermarkt.co.uk/hugo-novoa/profil/spieler/668276,Hugo Novoa,Right Winger,18.0,Spain,365.0,0.4,RB Leipzig,2021
Bundesliga,https://www.transfermarkt.co.uk/brian-behrendt/profil/spieler/85660,Brian Behrendt,Centre-Back,29.0,Germany,2543.0,0.5,Arminia Bielefeld,2021
Bundesliga,https://www.transfermarkt.co.uk/jonathan-schmid/profil/spieler/70285,Jonathan Schmid,Right-Back,31.0,France,1096.0,3.0,SC Freiburg,2021
Bundesliga,https://www.transfermarkt.co.uk/ahmed-kutucu/profil/spieler/452084,Ahmed Kutucu,Centre-Forward,21.0,Turkey,1246.0,1.7, Schalke 04,2021
Bundesliga,https://www.transfermarkt.co.uk/tuta/profil/spieler/546213,Tuta,Centre-Back,21.0,Brazil,1247.0,9.0,Eintracht Frankfurt,2021
