League,Player Link,Player,Position,Age,Country,Join,Market Value,Club,Year
Bundesliga,https://www.transfermarkt.co.uk/joan-simun-edmundsson/profil/spieler/123683,Joan Simun Edmundsson,Second Striker,29.0,Faroe Islands,1461.0,0.5,Arminia Bielefeld,2021
Bundesliga,https://www.transfermarkt.co.uk/julian-brandt/profil/spieler/187492,Julian Brandt,Attacking Midfield,25.0,Germany,1096.0,20.0,Borussia Dortmund,2021
Bundesliga,https://www.transfermarkt.co.uk/joshua-kimmich/profil/spieler/161056,Joshua Kimmich,Defensive Midfield,26.0,Germany,2556.0,90.0,Bayern Munich,2021
Bundesliga,https://www.transfermarkt.co.uk/amos-pieper/profil/spieler/334221,Amos Pieper,Centre-Back,23.0,Germany,1250.0,7.0,Arminia Bielefeld,2021
Bundesliga,https://www.transfermarkt.co.uk/david-abraham/profil/spieler/58178,David Abraham,Centre-Back,34.0,Argentina,2556.0,0.0,Eintracht Frankfurt,2021
Bundesliga,https://www.transfermarkt.co.uk/joao-klauss/profil/spieler/498862,Joao Klauss,Centre-Forward,24.0,Brazil,699.0,4.5,TSG 1899 Hoffenheim,2021
Bundesliga,https://www.transfermarkt.co.uk/christian-gross/profil/spieler/58396,Christian Gross,Defensive Midfield,32.0,Germany,699.0,0.5,SV Werder Bremen,2021
Bundesliga,https://www.transfermarkt.co.uk/almamy-toure/profil/spieler/216181,Almamy Toure,Centre-Back,25.0,Mali,1247.0,5.5,Eintracht Frankfurt,2021
Bundesliga,https://www.transfermarkt.co.uk/marcus-ingvartsen/profil/spieler/269878,Marcus Ingvartsen,Centre-Forward,25.0,Denmark,1096.0,3.5,1. Union Berlin,2021
Bundesliga,https://www.transfermarkt.co.uk/rabbi-matondo/profil/spieler/404384,Rabbi Matondo,Right Winger,20.0,Wales,1248.0,4.0, Schalke 04,2021
Bundesliga,https://www.transfermarkt.co.uk/denis-zakaria/profil/spieler/334526,Denis Zakaria,Defensive Midfield,24.0,Switzerland,1826.0,30.0,Borussia Monchengladbach,2021
Bundesliga,https://www.transfermarkt.co.uk/alexander-schwolow/profil/spieler/93763,Alexander Schwolow,Goalkeeper,29.0,Germany,696.0,5.0,Hertha,2021
Bundesliga,https://www.transfermarkt.co.uk/dominick-drexler/profil/spieler/53400,Dominick Drexler,Attacking Midfield,31.0,Germany,1442.0,1.3,1. Koln,2021
Bundesliga,https://www.transfermarkt.co.uk/mijat-gacinovic/profil/spieler/215864,Mijat Gacinovic,Left Midfield,26.0,Serbia,696.0,3.5,TSG 1899 Hoffenheim,2021
Bundesliga,https://www.transfermarkt.co.uk/tobias-raschl/profil/spieler/384745,Tobias Raschl,Central Midfield,21.0,Germany,1096.0,0.7,Borussia Dortmund,2021
Bundesliga,https://www.transfermarkt.co.uk/robin-knoche/profil/spieler/94201,Robin Knoche,Centre-Back,29.0,Germany,696.0,7.5,1. Union Berlin,2021
Bundesliga,https://www.transfermarkt.co.uk/andreas-luthe/profil/spieler/41323,Andreas Luthe,Goalkeeper,34.0,Germany,697.0,0.9,1. Union Berlin,2021
Bundesliga,https://www.transfermarkt.co.uk/deyovaisio-zeefuik/profil/spieler/338032,Deyovaisio Zeefuik,Right-Back,23.0,Netherlands,694.0,4.0,Hertha,2021
Bundesliga,https://www.transfermarkt.co.uk/max-kruse/profil/spieler/36182,Max Kruse,Second Striker,33.0,Germany,694.0,5.0,1. Union Berlin,2021
Bundesliga,https://www.transfermarkt.co.uk/famana-quizera/profil/spieler/504089,Famana Quizera,Right Winger,19.0,Portugal,693.0,0.2,Borussia Monchengladbach,2021
Bundesliga,https://www.transfermarkt.co.uk/axel-witsel/profil/spieler/35047,Axel Witsel,Defensive Midfield,32.0,Belgium,1425.0,9.0,Borussia Dortmund,2021
Bundesliga,https://www.transfermarkt.co.uk/mateo-klimowicz/profil/spieler/540302,Mateo Klimowicz,Attacking Midfield,20.0,Germany,1096.0,5.0,VfB Stuttgart,2021
Bundesliga,https://www.transfermarkt.co.uk/ron-robert-zieler/profil/spieler/21327,Ron-Robert Zieler,Goalkeeper,32.0,Germany,687.0,1.0,1. Koln,2021
Bundesliga,https://www.transfermarkt.co.uk/benjamin-stambouli/profil/spieler/127160,Benjamin Stambouli,Defensive Midfield,30.0,France,2135.0,1.5, Schalke 04,2021
Bundesliga,https://www.transfermarkt.co.uk/jerome-roussillon/profil/spieler/127076,Jerome Roussillon,Left-Back,28.0,Guadeloupe,1425.0,7.0,VfL Wolfsburg,2021
Bundesliga,https://www.transfermarkt.co.uk/daniel-didavi/profil/spieler/57995,Daniel Didavi,Attacking Midfield,31.0,Germany,1461.0,1.8,VfB Stuttgart,2021
Bundesliga,https://www.transfermarkt.co.uk/salif-sane/profil/spieler/126534,Salif Sane,Centre-Back,30.0,Senegal,1461.0,3.0, Schalke 04,2021
Bundesliga,https://www.transfermarkt.co.uk/niklas-stark/profil/spieler/162434,Niklas Stark,Centre-Back,26.0,Germany,2503.0,10.0,Hertha,2021
Bundesliga,https://www.transfermarkt.co.uk/nils-seufert/profil/spieler/279064,Nils Seufert,Central Midfield,24.0,Germany,1461.0,0.8,Arminia Bielefeld,2021
Bundesliga,https://www.transfermarkt.co.uk/marcel-halstenberg/profil/spieler/70243,Marcel Halstenberg,Left-Back,29.0,Germany,2496.0,14.0,RB Leipzig,2021
Bundesliga,https://www.transfermarkt.co.uk/lucas-alario/profil/spieler/193782,Lucas Alario,Centre-Forward,28.0,Argentina,1765.0,20.0,Bayer 04 Leverkusen,2021
Bundesliga,https://www.transfermarkt.co.uk/ron-thorben-hoffmann/profil/spieler/317444,Ron-Thorben Hoffmann,Goalkeeper,22.0,Germany,1461.0,0.6,Bayern Munich,2021
Bundesliga,https://www.transfermarkt.co.uk/fabio-schneider/profil/spieler/548803,Fabio Schneider,Central Midfield,18.0,Germany,684.0,0.2,1. Union Berlin,2021
Bundesliga,https://www.transfermarkt.co.uk/tahith-chong/profil/spieler/344830,Tahith Chong,Right Winger,21.0,Netherlands,684.0,4.0,SV Werder Bremen,2021
Bundesliga,https://www.transfermarkt.co.uk/angelino/profil/spieler/277179,Angelino,Left-Back,24.0,Spain,365.0,35.0,RB Leipzig,2021
Bundesliga,https://www.transfermarkt.co.uk/cedric-brunner/profil/spieler/147038,Cedric Brunner,Right-Back,27.0,Switzerland,1461.0,2.8,Arminia Bielefeld,2021
Bundesliga,https://www.transfermarkt.co.uk/suat-serdar/profil/spieler/261905,Suat Serdar,Central Midfield,24.0,Germany,1461.0,9.0, Schalke 04,2021
Bundesliga,https://www.transfermarkt.co.uk/kevin-kampl/profil/spieler/53418,Kevin Kampl,Central Midfield,30.0,Slovenia,1765.0,10.0,RB Leipzig,2021
Bundesliga,https://www.transfermarkt.co.uk/jadon-sancho/profil/spieler/401173,Jadon Sancho,Left Winger,21.0,England,1765.0,100.0,Borussia Dortmund,2021
Bundesliga,https://www.transfermarkt.co.uk/maximilian-philipp/profil/spieler/143891,Maximilian Philipp,Second Striker,27.0,Germany,365.0,7.0,VfL Wolfsburg,2021
Bundesliga,https://www.transfermarkt.co.uk/ansgar-knauff/profil/spieler/429874,Ansgar Knauff,Right Winger,19.0,Germany,365.0,3.0,Borussia Dortmund,2021
Bundesliga,https://www.transfermarkt.co.uk/dodi-lukebakio/profil/spieler/303259,Dodi Lukebakio,Right Winger,23.0,Belgium,1065.0,13.0,Hertha,2021
Bundesliga,https://www.transfermarkt.co.uk/nahuel-noll/profil/spieler/600942,Nahuel Noll,Goalkeeper,18.0,Germany,365.0,0.0,TSG 1899 Hoffenheim,2021
Bundesliga,https://www.transfermarkt.co.uk/eduard-lowen/profil/spieler/260655,Eduard Lowen,Central Midfield,24.0,Germany,1096.0,3.0,Hertha,2021
Bundesliga,https://www.transfermarkt.co.uk/kaan-kurt/profil/spieler/392154,Kaan Kurt,Right-Back,19.0,Germany,693.0,0.25,Borussia Monchengladbach,2021
Bundesliga,https://www.transfermarkt.co.uk/masaya-okugawa/profil/spieler/307052,Masaya Okugawa,Attacking Midfield,25.0,Japan,365.0,2.5,Arminia Bielefeld,2021
Bundesliga,https://www.transfermarkt.co.uk/vladislav-cherny/profil/spieler/606307,Vladislav Cherny,Attacking Midfield,18.0,Germany,365.0,0.1,Arminia Bielefeld,2021
Bundesliga,https://www.transfermarkt.co.uk/ilia-gruev/profil/spieler/381753,Ilia Gruev,Defensive Midfield,21.0,Bulgaria,1096.0,0.4,SV Werder Bremen,2021
Bundesliga,https://www.transfermarkt.co.uk/joscha-wosz/profil/spieler/597004,Joscha Wosz,Right Winger,18.0,Germany,365.0,0.4,RB Leipzig,2021
Bundesliga,https://www.transfermarkt.co.uk/luca-kilian/profil/spieler/384553,Luca Kilian,Centre-Back,21.0,Germany,690.0,1.3,1.FSV Mainz 05,2021
Bundesliga,https://www.transfermarkt.co.uk/sidney-raebiger/profil/spieler/717345,Sidney Raebiger,Central Midfield,16.0,Germany,365.0,0.0,RB Leipzig,2021
Bundesliga,https://www.transfermarkt.co.uk/roberto-massimo/profil/spieler/431561,Roberto Massimo,Left Winger,20.0,Germany,1461.0,2.5,VfB Stuttgart,2021
Bundesliga,https://www.transfermarkt.co.uk/charles-aranguiz/profil/spieler/89701,Charles Aranguiz,Central Midfield,32.0,Chile,2514.0,6.0,Bayer 04 Leverkusen,2021
Bundesliga,https://www.transfermarkt.co.uk/nishan-burkart/profil/spieler/346900,Nishan Burkart,Left Winger,21.0,Switzerland,365.0,0.3,SC Freiburg,2021
Bundesliga,https://www.transfermarkt.co.uk/kiliann-sildillia/profil/spieler/548348,Kiliann Sildillia,Right-Back,19.0,France,365.0,0.45,SC Freiburg,2021
Bundesliga,https://www.transfermarkt.co.uk/martin-hinteregger/profil/spieler/85789,Martin Hinteregger,Centre-Back,28.0,Austria,1065.0,18.0,Eintracht Frankfurt,2021
Bundesliga,https://www.transfermarkt.co.uk/maximilian-mittelstadt/profil/spieler/282660,Maximilian Mittelstadt,Left-Back,24.0,Germany,2508.0,7.0,Hertha,2021
Bundesliga,https://www.transfermarkt.co.uk/cedric-teuchert/profil/spieler/207597,Cedric Teuchert,Centre-Forward,24.0,Germany,699.0,1.7,1. Union Berlin,2021
Bundesliga,https://www.transfermarkt.co.uk/nils-petersen/profil/spieler/42936,Nils Petersen,Centre-Forward,32.0,Germany,2557.0,3.0,SC Freiburg,2021
Bundesliga,https://www.transfermarkt.co.uk/reece-oxford/profil/spieler/314295,Reece Oxford,Centre-Back,22.0,England,1064.0,3.0, Augsburg,2021
Bundesliga,https://www.transfermarkt.co.uk/thorgan-hazard/profil/spieler/102226,Thorgan Hazard,Left Winger,28.0,Belgium,1096.0,27.0,Borussia Dortmund,2021
Bundesliga,https://www.transfermarkt.co.uk/jan-olschowsky/profil/spieler/455922,Jan Olschowsky,Goalkeeper,19.0,Germany,718.0,0.3,Borussia Monchengladbach,2021
Bundesliga,https://www.transfermarkt.co.uk/niko-giesselmann/profil/spieler/72792,Niko Giesselmann,Left-Back,29.0,Germany,716.0,1.3,1. Union Berlin,2021
Bundesliga,https://www.transfermarkt.co.uk/leroy-sane/profil/spieler/192565,Leroy Sane,Right Winger,25.0,Germany,716.0,60.0,Bayern Munich,2021
Bundesliga,https://www.transfermarkt.co.uk/nico-elvedi/profil/spieler/192635,Nico Elvedi,Centre-Back,24.0,Switzerland,2557.0,28.0,Borussia Monchengladbach,2021
Bundesliga,https://www.transfermarkt.co.uk/maximilian-eggestein/profil/spieler/190284,Maximilian Eggestein,Central Midfield,24.0,Germany,2557.0,7.5,SV Werder Bremen,2021
Bundesliga,https://www.transfermarkt.co.uk/issah-abass/profil/spieler/482145,Issah Abass,Left Winger,22.0,Ghana,1400.0,0.7,1.FSV Mainz 05,2021
Bundesliga,https://www.transfermarkt.co.uk/luca-netz/profil/spieler/524285,Luca Netz,Left-Back,18.0,Germany,716.0,5.0,Hertha,2021
Bundesliga,https://www.transfermarkt.co.uk/anthony-ujah/profil/spieler/142281,Anthony Ujah,Centre-Forward,30.0,Nigeria,1096.0,0.8,1. Union Berlin,2021
Bundesliga,https://www.transfermarkt.co.uk/tyler-adams/profil/spieler/332705,Tyler Adams,Defensive Midfield,22.0,United States,1277.0,20.0,RB Leipzig,2021
Bundesliga,https://www.transfermarkt.co.uk/anderson-lucoqui/profil/spieler/240274,Anderson Lucoqui,Left-Back,23.0,Angola,1400.0,1.0,Arminia Bielefeld,2021
Bundesliga,https://www.transfermarkt.co.uk/hee-chan-hwang/profil/spieler/292246,Hee-chan Hwang,Centre-Forward,25.0,"Korea, South",716.0,11.0,RB Leipzig,2021
Bundesliga,https://www.transfermarkt.co.uk/tomas-koubek/profil/spieler/146714,Tomas Koubek,Goalkeeper,28.0,Czech Republic,1060.0,1.5, Augsburg,2021
Bundesliga,https://www.transfermarkt.co.uk/leonardo-bittencourt/profil/spieler/93844,Leonardo Bittencourt,Attacking Midfield,27.0,Germany,716.0,4.5,SV Werder Bremen,2021
Bundesliga,https://www.transfermarkt.co.uk/tobias-sippel/profil/spieler/31653,Tobias Sippel,Goalkeeper,33.0,Germany,2557.0,0.4,Borussia Monchengladbach,2021
Bundesliga,https://www.transfermarkt.co.uk/josep-martinez/profil/spieler/388516,Josep Martinez,Goalkeeper,23.0,Spain,716.0,2.5,RB Leipzig,2021
Bundesliga,https://www.transfermarkt.co.uk/christian-gebauer/profil/spieler/275423,Christian Gebauer,Right Winger,27.0,Austria,716.0,0.8,Arminia Bielefeld,2021
Bundesliga,https://www.transfermarkt.co.uk/omer-toprak/profil/spieler/43512,Omer Toprak,Centre-Back,31.0,Turkey,716.0,2.5,SV Werder Bremen,2021
Bundesliga,https://www.transfermarkt.co.uk/adrian-fein/profil/spieler/379979,Adrian Fein,Defensive Midfield,22.0,Germany,1096.0,4.0,Bayern Munich,2021
Bundesliga,https://www.transfermarkt.co.uk/lars-stindl/profil/spieler/48298,Lars Stindl,Attacking Midfield,32.0,Germany,2557.0,5.0,Borussia Monchengladbach,2021
Bundesliga,https://www.transfermarkt.co.uk/roland-sallai/profil/spieler/332798,Roland Sallai,Right Winger,24.0,Hungary,1400.0,13.0,SC Freiburg,2021
Bundesliga,https://www.transfermarkt.co.uk/nabil-bentaleb/profil/spieler/245537,Nabil Bentaleb,Central Midfield,26.0,Algeria,1826.0,2.0, Schalke 04,2021
Bundesliga,https://www.transfermarkt.co.uk/leon-dajaku/profil/spieler/483974,Leon Dajaku,Second Striker,20.0,Germany,365.0,1.8,1. Union Berlin,2021
Bundesliga,https://www.transfermarkt.co.uk/michael-zetterer/profil/spieler/196813,Michael Zetterer,Goalkeeper,25.0,Germany,2712.0,0.8,SV Werder Bremen,2021
Bundesliga,https://www.transfermarkt.co.uk/silas/profil/spieler/612826,Silas,Right Winger,22.0,DR Congo,1053.0,25.0,VfB Stuttgart,2021
Bundesliga,https://www.transfermarkt.co.uk/alphonso-davies/profil/spieler/424204,Alphonso Davies,Left-Back,20.0,Canada,1277.0,70.0,Bayern Munich,2021
Bundesliga,https://www.transfermarkt.co.uk/anthony-modeste/profil/spieler/50512,Anthony Modeste,Centre-Forward,33.0,France,1322.0,1.5,1. Koln,2021
Bundesliga,https://www.transfermarkt.co.uk/danny-da-costa/profil/spieler/85906,Danny da Costa,Right-Back,27.0,Germany,1826.0,6.0,Eintracht Frankfurt,2021
Bundesliga,https://www.transfermarkt.co.uk/emmanuel-dennis/profil/spieler/448854,Emmanuel Dennis,Centre-Forward,23.0,Nigeria,522.0,5.0,1. Koln,2021
Bundesliga,https://www.transfermarkt.co.uk/amadou-haidara/profil/spieler/402008,Amadou Haidara,Central Midfield,23.0,Mali,1277.0,24.0,RB Leipzig,2021
Bundesliga,https://www.transfermarkt.co.uk/benjamin-leneis/profil/spieler/381250,Benjamin Leneis,Goalkeeper,22.0,Germany,1346.0,0.2, Augsburg,2021
Bundesliga,https://www.transfermarkt.co.uk/atakan-karazor/profil/spieler/232320,Atakan Karazor,Defensive Midfield,24.0,Germany,1096.0,2.0,VfB Stuttgart,2021
Bundesliga,https://www.transfermarkt.co.uk/nikolai-rehnen/profil/spieler/264304,Nikolai Rehnen,Goalkeeper,24.0,Germany,2557.0,0.1,Arminia Bielefeld,2021
Bundesliga,https://www.transfermarkt.co.uk/florian-niederlechner/profil/spieler/152963,Florian Niederlechner,Centre-Forward,30.0,Germany,1096.0,4.0, Augsburg,2021
Bundesliga,https://www.transfermarkt.co.uk/milot-rashica/profil/spieler/291739,Milot Rashica,Right Winger,25.0,Kosovo,1612.0,9.0,SV Werder Bremen,2021
Bundesliga,https://www.transfermarkt.co.uk/kevin-trapp/profil/spieler/45672,Kevin Trapp,Goalkeeper,30.0,Germany,1059.0,6.5,Eintracht Frankfurt,2021
Bundesliga,https://www.transfermarkt.co.uk/jerry-st-juste/profil/spieler/288253,Jerry St. Juste,Centre-Back,24.0,Netherlands,1059.0,16.0,1.FSV Mainz 05,2021
Bundesliga,https://www.transfermarkt.co.uk/admir-mehmedi/profil/spieler/66058,Admir Mehmedi,Second Striker,30.0,Switzerland,1612.0,4.0,VfL Wolfsburg,2021
Bundesliga,https://www.transfermarkt.co.uk/amir-abrashi/profil/spieler/66005,Amir Abrashi,Defensive Midfield,31.0,Albania,2557.0,0.8,SC Freiburg,2021
Bundesliga,https://www.transfermarkt.co.uk/benjamin-henrichs/profil/spieler/202591,Benjamin Henrichs,Right-Back,24.0,Germany,365.0,12.0,RB Leipzig,2021
Bundesliga,https://www.transfermarkt.co.uk/roman-burki/profil/spieler/59027,Roman Burki,Goalkeeper,30.0,Switzerland,2557.0,4.0,Borussia Dortmund,2021
Bundesliga,https://www.transfermarkt.co.uk/nathan-de-medina/profil/spieler/285951,Nathan de Medina,Centre-Back,23.0,Belgium,716.0,0.65,Arminia Bielefeld,2021
Bundesliga,https://www.transfermarkt.co.uk/aymen-barkok/profil/spieler/315332,Aymen Barkok,Central Midfield,23.0,Morocco,2080.0,3.5,Eintracht Frankfurt,2021
Bundesliga,https://www.transfermarkt.co.uk/manuel-akanji/profil/spieler/284730,Manuel Akanji,Centre-Back,25.0,Switzerland,1628.0,30.0,Borussia Dortmund,2021
Bundesliga,https://www.transfermarkt.co.uk/nico-schlotterbeck/profil/spieler/388198,Nico Schlotterbeck,Centre-Back,21.0,Germany,700.0,7.5,1. Union Berlin,2021
Bundesliga,https://www.transfermarkt.co.uk/danny-latza/profil/spieler/39025,Danny Latza,Central Midfield,31.0,Germany,2557.0,1.5,1.FSV Mainz 05,2021
Bundesliga,https://www.transfermarkt.co.uk/luca-philipp/profil/spieler/432671,Luca Philipp,Goalkeeper,20.0,Germany,700.0,0.1,TSG 1899 Hoffenheim,2021
Bundesliga,https://www.transfermarkt.co.uk/peter-gulacsi/profil/spieler/57071,Peter Gulacsi,Goalkeeper,31.0,Hungary,2557.0,13.0,RB Leipzig,2021
Bundesliga,https://www.transfermarkt.co.uk/christoph-baumgartner/profil/spieler/324278,Christoph Baumgartner,Attacking Midfield,21.0,Austria,1263.0,22.0,TSG 1899 Hoffenheim,2021
Bundesliga,https://www.transfermarkt.co.uk/reinhold-yabo/profil/spieler/74856,Reinhold Yabo,Central Midfield,29.0,Germany,1267.0,0.7,Arminia Bielefeld,2021
Bundesliga,https://www.transfermarkt.co.uk/willi-orban/profil/spieler/93740,Willi Orban,Centre-Back,28.0,Hungary,2557.0,16.0,RB Leipzig,2021
Bundesliga,https://www.transfermarkt.co.uk/florian-kainz/profil/spieler/106270,Florian Kainz,Left Winger,28.0,Austria,1260.0,3.5,1. Koln,2021
Bundesliga,https://www.transfermarkt.co.uk/breel-embolo/profil/spieler/237662,Breel Embolo,Centre-Forward,24.0,Switzerland,1096.0,16.0,Borussia Monchengladbach,2021
Bundesliga,https://www.transfermarkt.co.uk/hamza-mendyl/profil/spieler/447221,Hamza Mendyl,Left-Back,23.0,Morocco,1414.0,1.0, Schalke 04,2021
Bundesliga,https://www.transfermarkt.co.uk/pavel-kaderabek/profil/spieler/143798,Pavel Kaderabek,Right-Back,29.0,Czech Republic,2557.0,8.0,TSG 1899 Hoffenheim,2021
Bundesliga,https://www.transfermarkt.co.uk/matija-nastasic/profil/spieler/143559,Matija Nastasic,Centre-Back,28.0,Serbia,2557.0,5.0, Schalke 04,2021
Bundesliga,https://www.transfermarkt.co.uk/timo-becker/profil/spieler/282349,Timo Becker,Centre-Back,24.0,Germany,700.0,1.3, Schalke 04,2021
Bundesliga,https://www.transfermarkt.co.uk/dedryck-boyata/profil/spieler/88262,Dedryck Boyata,Centre-Back,30.0,Belgium,1096.0,8.0,Hertha,2021
Bundesliga,https://www.transfermarkt.co.uk/renato-steffen/profil/spieler/194638,Renato Steffen,Right Winger,29.0,Switzerland,1633.0,4.5,VfL Wolfsburg,2021
Bundesliga,https://www.transfermarkt.co.uk/patrick-erras/profil/spieler/193859,Patrick Erras,Defensive Midfield,26.0,Germany,701.0,0.7,SV Werder Bremen,2021
Bundesliga,https://www.transfermarkt.co.uk/youssoufa-moukoko/profil/spieler/467720,Youssoufa Moukoko,Centre-Forward,16.0,Germany,702.0,18.0,Borussia Dortmund,2021
Bundesliga,https://www.transfermarkt.co.uk/thomas-delaney/profil/spieler/91849,Thomas Delaney,Central Midfield,29.0,Denmark,1461.0,15.0,Borussia Dortmund,2021
Bundesliga,https://www.transfermarkt.co.uk/sebastian-griesbeck/profil/spieler/153555,Sebastian Griesbeck,Centre-Back,30.0,Germany,716.0,1.0,1. Union Berlin,2021
Bundesliga,https://www.transfermarkt.co.uk/lukas-kubler/profil/spieler/93604,Lukas Kubler,Right-Back,28.0,Germany,2557.0,1.5,SC Freiburg,2021
Bundesliga,https://www.transfermarkt.co.uk/keita-endo/profil/spieler/421726,Keita Endo,Attacking Midfield,23.0,Japan,365.0,1.3,1. Union Berlin,2021
Bundesliga,https://www.transfermarkt.co.uk/christian-clemens/profil/spieler/44713,Christian Clemens,Right Winger,29.0,Germany,2007.0,0.7,1. Koln,2021
Bundesliga,https://www.transfermarkt.co.uk/edimilson-fernandes/profil/spieler/247555,Edimilson Fernandes,Central Midfield,25.0,Switzerland,1096.0,5.0,1.FSV Mainz 05,2021
Bundesliga,https://www.transfermarkt.co.uk/jude-bellingham/profil/spieler/581678,Jude Bellingham,Central Midfield,18.0,England,708.0,55.0,Borussia Dortmund,2021
Bundesliga,https://www.transfermarkt.co.uk/romano-schmid/profil/spieler/346853,Romano Schmid,Attacking Midfield,21.0,Austria,1275.0,4.0,SV Werder Bremen,2021
Bundesliga,https://www.transfermarkt.co.uk/jean-paul-boetius/profil/spieler/182574,Jean-Paul Boetius,Attacking Midfield,27.0,Netherlands,1404.0,5.0,1.FSV Mainz 05,2021
Bundesliga,https://www.transfermarkt.co.uk/antonis-aidonis/profil/spieler/405674,Antonis Aidonis,Centre-Back,20.0,Germany,707.0,0.3,VfB Stuttgart,2021
Bundesliga,https://www.transfermarkt.co.uk/sebastian-rudy/profil/spieler/57051,Sebastian Rudy,Defensive Midfield,31.0,Germany,1404.0,3.0, Schalke 04,2021
Bundesliga,https://www.transfermarkt.co.uk/sebastiaan-bornauw/profil/spieler/338629,Sebastiaan Bornauw,Centre-Back,22.0,Belgium,1060.0,12.0,1. Koln,2021
Bundesliga,https://www.transfermarkt.co.uk/jordan-torunarigha/profil/spieler/227110,Jordan Torunarigha,Centre-Back,23.0,Nigeria,2020.0,9.0,Hertha,2021
Bundesliga,https://www.transfermarkt.co.uk/erik-thommy/profil/spieler/156779,Erik Thommy,Attacking Midfield,26.0,Germany,1625.0,2.5,VfB Stuttgart,2021
Bundesliga,https://www.transfermarkt.co.uk/gregor-kobel/profil/spieler/257814,Gregor Kobel,Goalkeeper,23.0,Switzerland,703.0,13.0,VfB Stuttgart,2021
Bundesliga,https://www.transfermarkt.co.uk/waldemar-anton/profil/spieler/193004,Waldemar Anton,Centre-Back,24.0,Germany,703.0,9.0,VfB Stuttgart,2021
Bundesliga,https://www.transfermarkt.co.uk/julian-krahl/profil/spieler/337082,Julian Krahl,Goalkeeper,21.0,Germany,1096.0,0.2,1. Koln,2021
