,League,Player Link,Player,Position,Age,Country,Join,Market Value,Club,Year
0,Süper Lig,https://www.transfermarkt.co.uk/altay-bayindir/profil/spieler/336077,Altay Bayindir,Goalkeeper,24.0,Turkey,1087.0,16.0,Fenerbahce,2022
1,Süper Lig,https://www.transfermarkt.co.uk/berke-ozer/profil/spieler/361256,Berke Ozer,Goalkeeper,22.0,Turkey,1451.0,3.5,Fenerbahce,2022
2,Süper Lig,https://www.transfermarkt.co.uk/bartu-kulbilge/profil/spieler/839652,Bartu Kulbilge,Goalkeeper,19.0,Turkey,365.0,0.15,Fenerbahce,2022
3,Süper Lig,https://www.transfermarkt.co.uk/ertugrul-cetin/profil/spieler/654049,Ertugrul Cetin,Goalkeeper,19.0,Turkey,456.0,0.075,Fenerbahce,2022
4,Süper Lig,https://www.transfermarkt.co.uk/furkan-onur-akyuz/profil/spieler/955382,Furkan Onur Akyuz,Goalkeeper,16.0,Turkey,,0.0,Fenerbahce,2022
5,Süper Lig,https://www.transfermarkt.co.uk/min-jae-kim/profil/spieler/503482,Min-jae Kim,Centre-Back,25.0,"Korea, South",319.0,14.0,Fenerbahce,2022
6,Süper Lig,https://www.transfermarkt.co.uk/attila-szalai/profil/spieler/263380,Attila Szalai,Centre-Back,24.0,Hungary,529.0,12.0,Fenerbahce,2022
7,Süper Lig,https://www.transfermarkt.co.uk/marcel-tisserand/profil/spieler/170463,Marcel Tisserand,Centre-Back,29.0,DR Congo,654.0,2.8,Fenerbahce,2022
8,Süper Lig,https://www.transfermarkt.co.uk/serdar-aziz/profil/spieler/44996,Serdar Aziz,Centre-Back,31.0,Turkey,1247.0,2.5,Fenerbahce,2022
9,Süper Lig,https://www.transfermarkt.co.uk/steven-caulker/profil/spieler/121280,Steven Caulker,Centre-Back,30.0,Sierra Leone,365.0,2.0,Fenerbahce,2022
10,Süper Lig,https://www.transfermarkt.co.uk/emir-ortakaya/profil/spieler/727081,Emir Ortakaya,Centre-Back,18.0,Turkey,0.0,0.0,Fenerbahce,2022
11,Süper Lig,https://www.transfermarkt.co.uk/bora-cuha/profil/spieler/747112,Bora Cuha,Centre-Back,19.0,Turkey,,0.0,Fenerbahce,2022
12,Süper Lig,https://www.transfermarkt.co.uk/yusuf-kocaturk/profil/spieler/875113,Yusuf Kocaturk,Centre-Back,17.0,Turkey,,0.0,Fenerbahce,2022
13,Süper Lig,https://www.transfermarkt.co.uk/filip-novak/profil/spieler/107665,Filip Novak,Left-Back,32.0,Czech Republic,687.0,1.0,Fenerbahce,2022
14,Süper Lig,https://www.transfermarkt.co.uk/cagtay-kurukalip/profil/spieler/616886,Cagtay Kurukalip,Left-Back,20.0,Turkey,330.0,0.25,Fenerbahce,2022
15,Süper Lig,https://www.transfermarkt.co.uk/ferdi-kadioglu/profil/spieler/369316,Ferdi Kadioglu,Right-Back,22.0,Turkey,1448.0,10.5,Fenerbahce,2022
16,Süper Lig,https://www.transfermarkt.co.uk/bright-osayi-samuel/profil/spieler/358948,Bright Osayi-Samuel,Right-Back,24.0,Nigeria,519.0,8.0,Fenerbahce,2022
17,Süper Lig,https://www.transfermarkt.co.uk/nazim-sangare/profil/spieler/157113,Nazim Sangare,Right-Back,28.0,Turkey,646.0,1.7,Fenerbahce,2022
18,Süper Lig,https://www.transfermarkt.co.uk/serhat-ahmetoglu/profil/spieler/667401,Serhat Ahmetoglu,Right-Back,20.0,Turkey,585.0,0.2,Fenerbahce,2022
19,Süper Lig,https://www.transfermarkt.co.uk/ruhan-arda-aksoy/profil/spieler/655909,Ruhan Arda Aksoy,Right-Back,19.0,Turkey,,0.05,Fenerbahce,2022
20,Süper Lig,https://www.transfermarkt.co.uk/murat-saglam/profil/spieler/339051,Murat Saglam,Right-Back,24.0,Turkey,1096.0,0.025,Fenerbahce,2022
21,Süper Lig,https://www.transfermarkt.co.uk/luiz-gustavo/profil/spieler/10471,Luiz Gustavo,Defensive Midfield,34.0,Brazil,1033.0,1.2,Fenerbahce,2022
23,Süper Lig,https://www.transfermarkt.co.uk/miha-zajc/profil/spieler/149829,Miha Zajc,Central Midfield,27.0,Slovenia,1247.0,6.0,Fenerbahce,2022
24,Süper Lig,https://www.transfermarkt.co.uk/ozan-tufan/profil/spieler/236471,Ozan Tufan,Central Midfield,27.0,Turkey,1096.0,3.8,Fenerbahce,2022
25,Süper Lig,https://www.transfermarkt.co.uk/mert-hakan-yandas/profil/spieler/306462,Mert Hakan Yandas,Central Midfield,27.0,Turkey,689.0,3.5,Fenerbahce,2022
26,Süper Lig,https://www.transfermarkt.co.uk/muhammed-gumuskaya/profil/spieler/558727,Muhammed Gumuskaya,Central Midfield,21.0,Turkey,1096.0,2.5,Fenerbahce,2022
27,Süper Lig,https://www.transfermarkt.co.uk/jose-sosa/profil/spieler/20137,Jose Sosa,Central Midfield,37.0,Argentina,679.0,0.3,Fenerbahce,2022
28,Süper Lig,https://www.transfermarkt.co.uk/fatih-sanliturk/profil/spieler/839596,Fatih Sanliturk,Central Midfield,19.0,Turkey,365.0,0.25,Fenerbahce,2022
29,Süper Lig,https://www.transfermarkt.co.uk/arda-guler/profil/spieler/861410,Arda Guler,Attacking Midfield,17.0,Turkey,353.0,6.0,Fenerbahce,2022
30,Süper Lig,https://www.transfermarkt.co.uk/dimitrios-pelkas/profil/spieler/212832,Dimitrios Pelkas,Attacking Midfield,28.0,Greece,634.0,4.5,Fenerbahce,2022
31,Süper Lig,https://www.transfermarkt.co.uk/mesut-ozil/profil/spieler/35664,Mesut Ozil,Attacking Midfield,33.0,Germany,522.0,1.8,Fenerbahce,2022
32,Süper Lig,https://www.transfermarkt.co.uk/max-meyer/profil/spieler/146164,Max Meyer,Attacking Midfield,26.0,Germany,302.0,0.5,Fenerbahce,2022
33,Süper Lig,https://www.transfermarkt.co.uk/arda-cagdas/profil/spieler/875114,Arda Cagdas,Attacking Midfield,18.0,Turkey,,0.0,Fenerbahce,2022
34,Süper Lig,https://www.transfermarkt.co.uk/diego-rossi/profil/spieler/317454,Diego Rossi,Left Winger,24.0,Uruguay,0.0,14.5,Fenerbahce,2022
35,Süper Lig,https://www.transfermarkt.co.uk/arda-kurtulan/profil/spieler/700031,Arda Kurtulan,Left Winger,19.0,Albania,353.0,0.075,Fenerbahce,2022
36,Süper Lig,https://www.transfermarkt.co.uk/bora-aydinlik/profil/spieler/900024,Bora Aydinlik,Left Winger,17.0,Turkey,,0.0,Fenerbahce,2022
37,Süper Lig,https://www.transfermarkt.co.uk/irfan-can-kahveci/profil/spieler/216603,Irfan Can Kahveci,Right Winger,26.0,Turkey,516.0,8.5,Fenerbahce,2022
38,Süper Lig,https://www.transfermarkt.co.uk/burak-kapacak/profil/spieler/340251,Burak Kapacak,Right Winger,22.0,Turkey,326.0,0.9,Fenerbahce,2022
39,Süper Lig,https://www.transfermarkt.co.uk/mergim-berisha/profil/spieler/307924,Mergim Berisha,Centre-Forward,24.0,Germany,302.0,6.0,Fenerbahce,2022
40,Süper Lig,https://www.transfermarkt.co.uk/serdar-dursun/profil/spieler/80059,Serdar Dursun,Centre-Forward,30.0,Turkey,365.0,3.5,Fenerbahce,2022
41,Süper Lig,https://www.transfermarkt.co.uk/ally-samatta/profil/spieler/182201,Ally Samatta,Centre-Forward,29.0,Tanzania,365.0,3.0,Fenerbahce,2022
42,Süper Lig,https://www.transfermarkt.co.uk/enner-valencia/profil/spieler/139503,Enner Valencia,Centre-Forward,32.0,Ecuador,672.0,2.4,Fenerbahce,2022
43,Süper Lig,https://www.transfermarkt.co.uk/melih-bostan/profil/spieler/697917,Melih Bostan,Centre-Forward,18.0,Turkey,,0.15,Fenerbahce,2022
44,Süper Lig,https://www.transfermarkt.co.uk/gokhan-akkan/profil/spieler/223025,Gokhan Akkan,Goalkeeper,27.0,Turkey,2557.0,1.5,Caykur Rizespor,2022
45,Süper Lig,https://www.transfermarkt.co.uk/tarik-cetin/profil/spieler/286170,Tarik Cetin,Goalkeeper,25.0,Turkey,1073.0,0.325,Caykur Rizespor,2022
46,Süper Lig,https://www.transfermarkt.co.uk/zafer-gorgen/profil/spieler/576566,Zafer Gorgen,Goalkeeper,22.0,Turkey,1248.0,0.1,Caykur Rizespor,2022
47,Süper Lig,https://www.transfermarkt.co.uk/zeki-furkan-kayali/profil/spieler/876715,Zeki Furkan Kayali,Goalkeeper,18.0,Turkey,,0.05,Caykur Rizespor,2022
48,Süper Lig,https://www.transfermarkt.co.uk/sebastian-holmen/profil/spieler/222320,Sebastian Holmen,Centre-Back,30.0,Sweden,365.0,0.85,Caykur Rizespor,2022
49,Süper Lig,https://www.transfermarkt.co.uk/emir-dilaver/profil/spieler/80161,Emir Dilaver,Centre-Back,31.0,Austria,641.0,0.5,Caykur Rizespor,2022
51,Süper Lig,https://www.transfermarkt.co.uk/nathan-monzango/profil/spieler/804715,Nathan Monzango,Centre-Back,21.0,France,296.0,0.4,Caykur Rizespor,2022
52,Süper Lig,https://www.transfermarkt.co.uk/emirhan-topcu/profil/spieler/531332,Emirhan Topcu,Centre-Back,21.0,Turkey,1780.0,0.3,Caykur Rizespor,2022
53,Süper Lig,https://www.transfermarkt.co.uk/anil-yasar/profil/spieler/685329,Anil Yasar,Centre-Back,19.0,Turkey,353.0,0.175,Caykur Rizespor,2022
54,Süper Lig,https://www.transfermarkt.co.uk/selim-ay/profil/spieler/157175,Selim Ay,Centre-Back,30.0,Turkey,661.0,0.125,Caykur Rizespor,2022
55,Süper Lig,https://www.transfermarkt.co.uk/batuhan-cakir/profil/spieler/667428,Batuhan Cakir,Centre-Back,21.0,Turkey,365.0,0.0,Caykur Rizespor,2022
56,Süper Lig,https://www.transfermarkt.co.uk/cemali-sertel/profil/spieler/573981,Cemali Sertel,Left-Back,22.0,Turkey,365.0,1.0,Caykur Rizespor,2022
58,Süper Lig,https://www.transfermarkt.co.uk/alberk-koc/profil/spieler/374882,Alberk Koc,Left-Back,25.0,Turkey,882.0,0.15,Caykur Rizespor,2022
59,Süper Lig,https://www.transfermarkt.co.uk/gokhan-gonul/profil/spieler/33793,Gokhan Gonul,Right-Back,37.0,Turkey,350.0,0.125,Caykur Rizespor,2022
60,Süper Lig,https://www.transfermarkt.co.uk/aziz-aksoy/profil/spieler/743421,Aziz Aksoy,Right-Back,21.0,Turkey,353.0,0.05,Caykur Rizespor,2022
61,Süper Lig,https://www.transfermarkt.co.uk/fabricio-baiano/profil/spieler/282513,Fabricio Baiano,Defensive Midfield,30.0,Brazil,675.0,0.45,Caykur Rizespor,2022
62,Süper Lig,https://www.transfermarkt.co.uk/yasin-pehlivan/profil/spieler/64016,Yasin Pehlivan,Defensive Midfield,33.0,Austria,676.0,0.05,Caykur Rizespor,2022
63,Süper Lig,https://www.transfermarkt.co.uk/soner-ozdemir/profil/spieler/880413,Soner Ozdemir,Defensive Midfield,19.0,Turkey,,0.0,Caykur Rizespor,2022
65,Süper Lig,https://www.transfermarkt.co.uk/erik-sabo/profil/spieler/155597,Erik Sabo,Central Midfield,30.0,Slovakia,528.0,0.725,Caykur Rizespor,2022
66,Süper Lig,https://www.transfermarkt.co.uk/lebogang-phiri/profil/spieler/253316,Lebogang Phiri,Central Midfield,27.0,South Africa,348.0,0.6,Caykur Rizespor,2022
67,Süper Lig,https://www.transfermarkt.co.uk/bryan-dabo/profil/spieler/149446,Bryan Dabo,Central Midfield,30.0,Burkina Faso,347.0,0.55,Caykur Rizespor,2022
68,Süper Lig,https://www.transfermarkt.co.uk/damjan-djokovic/profil/spieler/143039,Damjan Djokovic,Central Midfield,32.0,Croatia,522.0,0.5,Caykur Rizespor,2022
69,Süper Lig,https://www.transfermarkt.co.uk/alper-potuk/profil/spieler/99186,Alper Potuk,Central Midfield,31.0,Turkey,359.0,0.2,Caykur Rizespor,2022
70,Süper Lig,https://www.transfermarkt.co.uk/fernando-boldrin/profil/spieler/144752,Fernando Boldrin,Attacking Midfield,33.0,Brazil,1058.0,0.3,Caykur Rizespor,2022
71,Süper Lig,https://www.transfermarkt.co.uk/ronaldo-mendes/profil/spieler/236952,Ronaldo Mendes,Attacking Midfield,29.0,Brazil,340.0,0.25,Caykur Rizespor,2022
72,Süper Lig,https://www.transfermarkt.co.uk/tyler-boyd/profil/spieler/203330,Tyler Boyd,Left Winger,27.0,United States,315.0,0.7,Caykur Rizespor,2022
73,Süper Lig,https://www.transfermarkt.co.uk/aminu-umar/profil/spieler/262688,Aminu Umar,Left Winger,27.0,Nigeria,1033.0,0.5,Caykur Rizespor,2022
74,Süper Lig,https://www.transfermarkt.co.uk/yannick-bolasie/profil/spieler/75471,Yannick Bolasie,Left Winger,33.0,DR Congo,308.0,0.5,Caykur Rizespor,2022
75,Süper Lig,https://www.transfermarkt.co.uk/mahsun-capkan/profil/spieler/352658,Mahsun Capkan,Left Winger,22.0,Turkey,1084.0,0.05,Caykur Rizespor,2022
76,Süper Lig,https://www.transfermarkt.co.uk/guvenc-usta/profil/spieler/874737,Guvenc Usta,Left Winger,18.0,Turkey,365.0,0.05,Caykur Rizespor,2022
77,Süper Lig,https://www.transfermarkt.co.uk/efe-tecimer/profil/spieler/873444,Efe Tecimer,Left Winger,18.0,Turkey,0.0,0.05,Caykur Rizespor,2022
79,Süper Lig,https://www.transfermarkt.co.uk/eren-karadag/profil/spieler/605194,Eren Karadag,Right Winger,22.0,Turkey,1362.0,0.325,Caykur Rizespor,2022
80,Süper Lig,https://www.transfermarkt.co.uk/ugur-can-semizoglu/profil/spieler/857756,Ugur Can Semizoglu,Right Winger,21.0,Turkey,350.0,0.05,Caykur Rizespor,2022
81,Süper Lig,https://www.transfermarkt.co.uk/emre-vezir/profil/spieler/874736,Emre Vezir,Right Winger,19.0,Turkey,,0.025,Caykur Rizespor,2022
83,Süper Lig,https://www.transfermarkt.co.uk/deniz-hummet/profil/spieler/271787,Deniz Hummet,Centre-Forward,25.0,Turkey,303.0,0.4,Caykur Rizespor,2022
85,Süper Lig,https://www.transfermarkt.co.uk/papiss-cisse/profil/spieler/33952,Papiss Cisse,Centre-Forward,37.0,Senegal,143.0,0.25,Caykur Rizespor,2022
86,Süper Lig,https://www.transfermarkt.co.uk/loic-remy/profil/spieler/45121,Loic Remy,Centre-Forward,35.0,France,672.0,0.15,Caykur Rizespor,2022
87,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/renan-silva/profil/spieler/980968,Renan Silva,Defence,18.0,Brazil,,0.0,Atletico Clube Goianiense,2022
88,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/lucas/profil/spieler/980979,Lucas,Defence,19.0,Brazil,,0.0,Atletico Clube Goianiense,2022
89,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/dagoberto/profil/spieler/1008161,Dagoberto,Attack,18.0,Brazil,,0.0,Atletico Clube Goianiense,2022
91,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/ronaldo/profil/spieler/387925,Ronaldo,Goalkeeper,25.0,Brazil,163.0,0.55,Atletico Clube Goianiense,2022
92,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/luan-polli/profil/spieler/273250,Luan Polli,Goalkeeper,29.0,Brazil,335.0,0.5,Atletico Clube Goianiense,2022
94,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/pedro-paulo/profil/spieler/914027,Pedro Paulo,Goalkeeper,24.0,Brazil,-45.0,0.0,Atletico Clube Goianiense,2022
97,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/ramon-menezes/profil/spieler/371025,Ramon Menezes,Centre-Back,27.0,Brazil,143.0,1.0,Atletico Clube Goianiense,2022
98,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/camutanga/profil/spieler/607817,Camutanga,Centre-Back,28.0,Brazil,-17.0,0.7,Atletico Clube Goianiense,2022
99,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/wanderson/profil/spieler/316067,Wanderson,Centre-Back,31.0,Brazil,161.0,0.45,Atletico Clube Goianiense,2022
101,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/michel-custodio/profil/spieler/677679,Michel Custodio,Centre-Back,21.0,Brazil,181.0,0.15,Atletico Clube Goianiense,2022
102,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/lucas-gazal/profil/spieler/863073,Lucas Gazal,Centre-Back,22.0,Brazil,-21.0,0.0,Atletico Clube Goianiense,2022
103,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/gabriel-ribeiro/profil/spieler/978212,Gabriel Ribeiro,Centre-Back,18.0,Brazil,,0.0,Atletico Clube Goianiense,2022
104,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/arthur-henrique/profil/spieler/349737,Arthur Henrique,Left-Back,28.0,Brazil,181.0,0.5,Atletico Clube Goianiense,2022
106,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/jonathan/profil/spieler/980980,Jonathan,Left-Back,19.0,Brazil,,0.0,Atletico Clube Goianiense,2022
108,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/hayner/profil/spieler/389942,Hayner,Right-Back,26.0,Brazil,115.0,0.35,Atletico Clube Goianiense,2022
109,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/luan-sales/profil/spieler/692671,Luan Sales,Right-Back,21.0,Brazil,,0.15,Atletico Clube Goianiense,2022
110,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/marlon-freitas/profil/spieler/364972,Marlon Freitas,Defensive Midfield,27.0,Brazil,912.0,1.7,Atletico Clube Goianiense,2022
112,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/edson/profil/spieler/103146,Edson,Defensive Midfield,30.0,Brazil,181.0,0.6,Atletico Clube Goianiense,2022
113,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/rhaldney/profil/spieler/638269,Rhaldney,Defensive Midfield,23.0,Brazil,-18.0,0.6,Atletico Clube Goianiense,2022
114,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/edson-fernando/profil/spieler/686332,Edson Fernando,Defensive Midfield,24.0,Brazil,80.0,0.5,Atletico Clube Goianiense,2022
115,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/rickson/profil/spieler/529609,Rickson,Defensive Midfield,24.0,Brazil,306.0,0.3,Atletico Clube Goianiense,2022
117,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/isaac/profil/spieler/965613,Isaac,Defensive Midfield,18.0,Brazil,,0.0,Atletico Clube Goianiense,2022
118,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/thiago-medeiros/profil/spieler/980981,Thiago Medeiros,Defensive Midfield,18.0,Brazil,,0.0,Atletico Clube Goianiense,2022
120,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/baralhas/profil/spieler/552242,Baralhas,Central Midfield,23.0,Brazil,181.0,0.8,Atletico Clube Goianiense,2022
122,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/shaylon/profil/spieler/480274,Shaylon,Attacking Midfield,25.0,Brazil,154.0,0.7,Atletico Clube Goianiense,2022
123,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/wellington-rato/profil/spieler/542483,Wellington Rato,Attacking Midfield,30.0,Brazil,634.0,0.5,Atletico Clube Goianiense,2022
125,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/peglow/profil/spieler/627227,Peglow,Left Winger,20.0,Brazil,-21.0,1.8,Atletico Clube Goianiense,2022
126,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/luis-phelipe/profil/spieler/673830,Luis Phelipe,Left Winger,21.0,Brazil,133.0,0.5,Atletico Clube Goianiense,2022
130,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/leandro-barcia/profil/spieler/322059,Leandro Barcia,Right Winger,29.0,Uruguay,158.0,0.5,Atletico Clube Goianiense,2022
131,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/kelvin/profil/spieler/638722,Kelvin,Right Winger,24.0,Brazil,-18.0,0.0,Atletico Clube Goianiense,2022
132,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/jean-carlos/profil/spieler/965636,Jean Carlos,Right Winger,19.0,Brazil,,0.0,Atletico Clube Goianiense,2022
134,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/brian-montenegro/profil/spieler/198143,Brian Montenegro,Centre-Forward,29.0,Paraguay,322.0,0.8,Atletico Clube Goianiense,2022
135,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/dellatorre/profil/spieler/184604,Dellatorre,Centre-Forward,30.0,Brazil,163.0,0.6,Atletico Clube Goianiense,2022
136,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/diego-churin/profil/spieler/68747,Diego Churin,Centre-Forward,32.0,Argentina,85.0,0.5,Atletico Clube Goianiense,2022
137,Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/daniel-lima/profil/spieler/965614,Daniel Lima,Centre-Forward,17.0,Brazil,,0.0,Atletico Clube Goianiense,2022
139,Liga Portugal,https://www.transfermarkt.co.uk/miguel-silva/profil/spieler/336756,Miguel Silva,Goalkeeper,27.0,Portugal,365.0,0.3,CS Maritimo,2022
140,Liga Portugal,https://www.transfermarkt.co.uk/pedro-teixeira/profil/spieler/698454,Pedro Teixeira,Goalkeeper,20.0,Portugal,365.0,0.1,CS Maritimo,2022
141,Liga Portugal,https://www.transfermarkt.co.uk/vitor-eudes/profil/spieler/590039,Vitor Eudes,Goalkeeper,23.0,Brazil,0.0,0.05,CS Maritimo,2022
142,Liga Portugal,https://www.transfermarkt.co.uk/jorge-saenz/profil/spieler/340339,Jorge Saenz,Centre-Back,25.0,Spain,338.0,0.7,CS Maritimo,2022
143,Liga Portugal,https://www.transfermarkt.co.uk/leo-andrade/profil/spieler/539135,Leo Andrade,Centre-Back,24.0,Brazil,583.0,0.6,CS Maritimo,2022
144,Liga Portugal,https://www.transfermarkt.co.uk/matheus-costa/profil/spieler/513346,Matheus Costa,Centre-Back,27.0,Brazil,365.0,0.6,CS Maritimo,2022
145,Liga Portugal,https://www.transfermarkt.co.uk/moises-mosquera/profil/spieler/817133,Moises Mosquera,Centre-Back,21.0,Colombia,0.0,0.2,CS Maritimo,2022
146,Liga Portugal,https://www.transfermarkt.co.uk/zainadine/profil/spieler/137192,Zainadine,Centre-Back,34.0,Mozambique,1642.0,0.2,CS Maritimo,2022
147,Liga Portugal,https://www.transfermarkt.co.uk/vitor-costa/profil/spieler/384741,Vitor Costa,Left-Back,27.0,Brazil,343.0,0.7,CS Maritimo,2022
148,Liga Portugal,https://www.transfermarkt.co.uk/china/profil/spieler/435497,China,Left-Back,29.0,Portugal,2191.0,0.3,CS Maritimo,2022
149,Liga Portugal,https://www.transfermarkt.co.uk/claudio-winck/profil/spieler/181783,Claudio Winck,Right-Back,28.0,Brazil,654.0,0.8,CS Maritimo,2022
150,Liga Portugal,https://www.transfermarkt.co.uk/tim-waker/profil/spieler/217274,Tim Waker,Right-Back,28.0,Sweden,516.0,0.2,CS Maritimo,2022
151,Liga Portugal,https://www.transfermarkt.co.uk/ivan-rossi/profil/spieler/267433,Ivan Rossi,Defensive Midfield,28.0,Argentina,352.0,0.5,CS Maritimo,2022
152,Liga Portugal,https://www.transfermarkt.co.uk/diogo-mendes/profil/spieler/396443,Diogo Mendes,Defensive Midfield,24.0,Portugal,364.0,0.5,CS Maritimo,2022
153,Liga Portugal,https://www.transfermarkt.co.uk/rodrigo-andrade/profil/spieler/696656,Rodrigo Andrade,Defensive Midfield,20.0,Portugal,,0.2,CS Maritimo,2022
154,Liga Portugal,https://www.transfermarkt.co.uk/filipe-cardoso/profil/spieler/352764,Filipe Cardoso,Defensive Midfield,28.0,Portugal,365.0,0.175,CS Maritimo,2022
155,Liga Portugal,https://www.transfermarkt.co.uk/pedro-pelagio/profil/spieler/606050,Pedro Pelagio,Central Midfield,22.0,Portugal,1004.0,0.5,CS Maritimo,2022
156,Liga Portugal,https://www.transfermarkt.co.uk/andre-teles/profil/spieler/443673,Andre Teles,Central Midfield,25.0,Portugal,0.0,0.0,CS Maritimo,2022
157,Liga Portugal,https://www.transfermarkt.co.uk/rafik-guitane/profil/spieler/394328,Rafik Guitane,Attacking Midfield,23.0,France,304.0,2.0,CS Maritimo,2022
158,Liga Portugal,https://www.transfermarkt.co.uk/xadas/profil/spieler/345345,Xadas,Attacking Midfield,24.0,Portugal,353.0,1.5,CS Maritimo,2022
159,Liga Portugal,https://www.transfermarkt.co.uk/miguel-sousa/profil/spieler/587107,Miguel Sousa,Attacking Midfield,23.0,Portugal,108.0,0.0,CS Maritimo,2022
160,Liga Portugal,https://www.transfermarkt.co.uk/andre-vidigal/profil/spieler/426624,Andre Vidigal,Left Winger,23.0,Portugal,365.0,0.6,CS Maritimo,2022
162,Liga Portugal,https://www.transfermarkt.co.uk/clesio-bauque/profil/spieler/211796,Clesio Bauque,Left Winger,27.0,Mozambique,326.0,0.3,CS Maritimo,2022
163,Liga Portugal,https://www.transfermarkt.co.uk/milson/profil/spieler/589374,Milson,Left Winger,22.0,Angola,654.0,0.25,CS Maritimo,2022
164,Liga Portugal,https://www.transfermarkt.co.uk/ruben-macedo/profil/spieler/225119,Ruben Macedo,Left Winger,26.0,Portugal,682.0,0.175,CS Maritimo,2022
165,Liga Portugal,https://www.transfermarkt.co.uk/johnson-owusu/profil/spieler/359375,Johnson Owusu,Left Winger,24.0,Ghana,,0.0,CS Maritimo,2022
166,Liga Portugal,https://www.transfermarkt.co.uk/edgar-costa/profil/spieler/126956,Edgar Costa,Right Winger,35.0,Portugal,2915.0,0.1,CS Maritimo,2022
167,Liga Portugal,https://www.transfermarkt.co.uk/stefano-beltrame/profil/spieler/167791,Stefano Beltrame,Second Striker,29.0,Italy,532.0,0.5,CS Maritimo,2022
168,Liga Portugal,https://www.transfermarkt.co.uk/ali-alipour/profil/spieler/249360,Ali Alipour,Centre-Forward,26.0,Iran,641.0,1.5,CS Maritimo,2022
169,Liga Portugal,https://www.transfermarkt.co.uk/joel-tagueu/profil/spieler/184928,Joel Tagueu,Centre-Forward,28.0,Cameroon,693.0,1.0,CS Maritimo,2022
171,Bundesliga,https://www.transfermarkt.co.uk/manuel-riemann/profil/spieler/40792,Manuel Riemann,Goalkeeper,33.0,Germany,2557.0,1.2,VfL Bochum,2022
172,Bundesliga,https://www.transfermarkt.co.uk/michael-esser/profil/spieler/61989,Michael Esser,Goalkeeper,34.0,Germany,365.0,0.4,VfL Bochum,2022
173,Bundesliga,https://www.transfermarkt.co.uk/tjark-ernst/profil/spieler/553282,Tjark Ernst,Goalkeeper,19.0,Germany,,0.2,VfL Bochum,2022
174,Bundesliga,https://www.transfermarkt.co.uk/paul-grave/profil/spieler/452192,Paul Grave,Goalkeeper,21.0,Germany,1217.0,0.1,VfL Bochum,2022
175,Bundesliga,https://www.transfermarkt.co.uk/armel-bella-kotchap/profil/spieler/467563,Armel Bella-Kotchap,Centre-Back,20.0,Germany,1217.0,10.0,VfL Bochum,2022
176,Bundesliga,https://www.transfermarkt.co.uk/maxim-leitsch/profil/spieler/334207,Maxim Leitsch,Centre-Back,24.0,Germany,1826.0,5.0,VfL Bochum,2022
177,Bundesliga,https://www.transfermarkt.co.uk/erhan-masovic/profil/spieler/343959,Erhan Masovic,Centre-Back,23.0,Serbia,634.0,2.5,VfL Bochum,2022
178,Bundesliga,https://www.transfermarkt.co.uk/vasilios-lampropoulos/profil/spieler/63489,Vasilios Lampropoulos,Centre-Back,32.0,Greece,686.0,0.5,VfL Bochum,2022
179,Bundesliga,https://www.transfermarkt.co.uk/saulo-decarli/profil/spieler/154578,Saulo Decarli,Centre-Back,30.0,Switzerland,1096.0,0.3,VfL Bochum,2022
