,Outlet,Agent,League,Position,Age,Country,Join,Market Value,Outcome
157,Mail,Relatives,Premier League,Midfielder,22.0,England,1826.0,65.0,False
158,The Sun,Unknown,Premier League,Attacker,28.0,Cote d'Ivoire,2706.0,45.0,False
160,The Athletic,AC Talent,LaLiga,Midfielder,21.0,Spain,730.0,18.0,False
168,Insider,CAA Base Ltd,Premier League,Defender,23.0,Netherlands,2373.0,4.0,False
171,Bild,CAA Stellar,Serie A,Attacker,18.0,Netherlands,515.0,3.0,False
173,Journalists,LIAN Sports Group,Premier League,Defender,30.0,Spain,2130.0,12.0,False
174,Mirror,Unknown,Premier League,Attacker,28.0,Cote d'Ivoire,2706.0,45.0,False
175,The Sun,Relatives,Championship,Defender,21.0,England,1461.0,22.0,False
180,Corriere S.,CAA Base Ltd,Serie A,Attacker,36.0,Spain,1033.0,1.0,False
183,Mail,CAA Stellar,Premier League,Attacker,25.0,England,3287.0,65.0,True
186,Marca,CAA Stellar,Premier League,Attacker,23.0,Wales,1096.0,18.0,False
190,Liverpool E.,HCM Sports ...,Serie A,Defender,31.0,Sweden,1438.0,3.0,True
195,Insider,CAA Base Ltd,Championship,Defender,25.0,England,3287.0,3.0,False
196,90 Min,Elite Project Group ...,Bundesliga,Attacker,21.0,England,1765.0,100.0,True
197,Mail,Unknown,Premier League,Attacker,28.0,Cote d'Ivoire,2706.0,45.0,False
200,The Sun,Elite Project Group ...,Bundesliga,Attacker,21.0,England,1765.0,100.0,True
202,Manchester N.,AMS CONSULTING,Serie A,Attacker,18.0,Cote d'Ivoire,668.0,18.0,True
207,Mail,Wasserman,Bundesliga,Attacker,20.0,Wales,1248.0,4.0,True
208,Bild,Relatives,Bundesliga,Midfielder,25.0,Germany,1096.0,20.0,False
210,Goal,Relatives,LaLiga,Attacker,34.0,Uruguay,730.0,15.0,False
211,Marca,The Talents ...,Serie A,Midfielder,29.0,Denmark,885.0,40.0,False
212,Journalists,CK66,Premier League,Attacker,27.0,England,4199.0,120.0,False
214,Mirror,CAA Base Ltd,Premier League,Midfielder,25.0,England,2706.0,30.0,False
215,L'Equipe,CAA Base Ltd,Premier League,Midfielder,25.0,England,2706.0,30.0,False
216,Corriere S.,Relatives,Serie A,Attacker,27.0,Argentina,2557.0,50.0,False
217,ESPN,AMS CONSULTING,Serie A,Attacker,18.0,Cote d'Ivoire,668.0,18.0,True
225,Guardian,Relatives,Bundesliga,Defender,29.0,Austria,4383.0,55.0,False
226,Bild,CAA Base Ltd,Bundesliga,Attacker,25.0,France,1826.0,65.0,False
229,Mail,Wasserman,Championship,Midfielder,26.0,England,2363.0,3.0,False
231,Talksport,CAA Base Ltd,LaLiga,Defender,30.0,England,1080.0,20.0,False
232,Manchester N.,Unknown,Premier League,Defender,20.0,England,1096.0,10.0,False
236,Sky Sports,CAA Stellar,Championship,Defender,23.0,England,1826.0,7.0,True
238,Manchester N.,CAA Base Ltd,Premier League,Defender,23.0,Netherlands,2373.0,4.0,True
239,Guardian,CAA Stellar,Championship,Defender,23.0,England,1826.0,7.0,True
240,Talksport,LIAN Sports Group,Serie A,Defender,30.0,Senegal,2922.0,48.0,False
247,Sky Sports,Unknown,Premier League,Midfielder,28.0,England,2922.0,22.0,False
249,Liverpool E.,Unknown,Premier League,Defender,23.0,England,1461.0,28.0,False
253,90 Min,ROOF,Bundesliga,Attacker,23.0,Nigeria,346.0,5.0,True
254,Mail,Wasserman,Premier League,Midfielder,29.0,England,1453.0,2.5,True
257,Calcio M.,Rafaela Pimenta,Premier League,Midfielder,28.0,France,2152.0,60.0,True
260,Mail,Gol International,Ligue 1,Midfielder,26.0,France,1991.0,16.0,True
262,Talksport,Wasserman,Premier League,Midfielder,29.0,England,1453.0,2.5,True
266,F. Romano,CAA Base Ltd,Premier League,Midfielder,25.0,England,2706.0,30.0,False
268,Star,Unknown,Premier League,Midfielder,28.0,England,2922.0,22.0,False
273,Sport,Relatives,LaLiga,Attacker,34.0,Argentina,6209.0,80.0,True
276,Marca,Relatives,Bundesliga,Defender,29.0,Austria,4383.0,55.0,True
277,ESPN,Unknown,Premier League,Midfielder,28.0,England,2922.0,22.0,True
278,Sky Sports,Universal Twenty Two,Championship,Attacker,24.0,Argentina,1461.0,35.0,False
283,Talksport,Unknown,Premier League,Midfielder,28.0,England,2922.0,22.0,True
288,Mail,Universal Twenty Two,Championship,Attacker,24.0,Argentina,1461.0,35.0,False
290,The Sun,Unknown,Premier League,Attacker,28.0,England,1096.0,22.0,False
291,Star,LIAN Sports Group,Liga Portugal,Attacker,29.0,Switzerland,1826.0,14.0,False
292,Sport,Relatives,LaLiga,Attacker,24.0,France,1771.0,50.0,False
293,90 Min,Unknown,Premier League,Attacker,28.0,England,1096.0,22.0,False
294,Mail,Unknown,Premier League,Midfielder,28.0,England,2922.0,22.0,False
299,Express,Relatives,Ligue 1,Attacker,22.0,France,1461.0,160.0,False
303,Mail,CAA Stellar,Premier League,Midfielder,20.0,Scotland,871.0,10.0,False
306,Telegraph ,CAA Stellar,Championship,Attacker,16.0,England,1096.0,0.0,False
307,Times ,HCM Sports ...,Premier League,Midfielder,24.0,Netherlands,667.0,30.0,False
308,Bild,Unknown,Bundesliga,Defender,22.0,France,1995.0,60.0,False
309,Telegraph ,Relatives,Premier League,Midfielder,22.0,England,1826.0,65.0,False
312,Mirror,Unknown,Premier League,Defender,28.0,England,2342.0,25.0,False
316,Goal,CAA Stellar,Premier League,Attacker,19.0,Uruguay,634.0,6.0,False
317,Sky Sports,Sports Invest UK ltd,Bundesliga,Attacker,20.0,Netherlands,730.0,8.0,False
321,Mirror,ESN,LaLiga,Defender,22.0,France,1094.0,60.0,False
322,Marca,Relatives,LaLiga,Attacker,24.0,France,1771.0,50.0,False
323,Mail,Unknown,Premier League,Defender,28.0,Cote d'Ivoire,1765.0,20.0,False
326,Evening Std,CAA Stellar,Premier League,Defender,29.0,Germany,2131.0,2.5,False
331,Mundo D.,ESN,LaLiga,Defender,22.0,France,1094.0,60.0,True
338,Insider,Unique Sports Group,Ligue 1,Defender,23.0,France,1081.0,8.0,False
340,Journalists,Unknown,Premier League,Attacker,24.0,Brazil,634.0,30.0,False
345,Marca,CAA Stellar,LaLiga,Midfielder,26.0,Spain,3287.0,40.0,False
347,Star,Sports Invest UK ltd,Premier League,Midfielder,23.0,Brazil,1072.0,35.0,False
348,Mirror,Elite Project Group ...,Bundesliga,Attacker,21.0,England,1765.0,100.0,True
349,Mirror,CAA Base Ltd,LaLiga,Defender,30.0,England,1080.0,20.0,False
351,Sport,TEAM DEPAY,Ligue 1,Attacker,27.0,Netherlands,1988.0,45.0,True
354,Insider,Elite Project Group ...,Premier League,Attacker,22.0,England,1277.0,16.0,False
360,Mail,Gestifute,Premier League,Midfielder,24.0,Portugal,1819.0,45.0,False
361,Metro,CAA Base Ltd,LaLiga,Defender,30.0,England,1080.0,20.0,False
364,Mundo D.,TEAM DEPAY,Ligue 1,Attacker,27.0,Netherlands,1988.0,45.0,True
368,Mundo D.,Sports Invest UK ltd,LaLiga,Attacker,29.0,Brazil,1635.0,30.0,False
369,The Sun,Unique Sports Group,Ligue 1,Attacker,24.0,Cote d'Ivoire,2724.0,12.0,False
370,Mundo D.,Sports360 GmbH,Premier League,Attacker,25.0,Germany,730.0,65.0,False
372,Goal,CK66,Premier League,Attacker,27.0,England,4199.0,120.0,False
378,The Sun,Unknown,Premier League,Midfielder,28.0,England,2922.0,22.0,True
379,Sky Sports,Unknown,Premier League,Midfielder,31.0,France,2130.0,10.0,False
380,Mirror,ROOF,Championship,Midfielder,25.0,Denmark,1068.0,10.0,False
381,Journalists,Gestifute,Premier League,Midfielder,26.0,Portugal,1826.0,70.0,False
384,Express,Gestifute,Serie A,Attacker,36.0,Portugal,1452.0,45.0,True
385,Mundo D.,CAA Stellar,Premier League,Attacker,25.0,England,3287.0,65.0,False
387,Times ,CAA Stellar,Premier League,Defender,24.0,Scotland,1058.0,32.0,False
391,90 Min,CK66,Premier League,Attacker,27.0,England,4199.0,120.0,False
392,L'Equipe,Rafaela Pimenta,Premier League,Midfielder,28.0,France,2152.0,60.0,False
395,Goal,CAA Base Ltd,LaLiga,Defender,28.0,France,4018.0,70.0,True
396,ESPN,CAA Base Ltd,LaLiga,Defender,30.0,England,1080.0,20.0,False
397,The Athletic,Universal Twenty Two,LaLiga,Attacker,21.0,Sweden,1096.0,40.0,False
400,F. Romano,Relatives,Bundesliga,Midfielder,22.0,France,634.0,20.0,True
401,Insider,Unknown,Premier League,Midfielder,28.0,England,2922.0,22.0,True
405,Star,CK66,Premier League,Attacker,27.0,England,4199.0,120.0,False
406,Mail,Elite Project Group ...,Bundesliga,Attacker,21.0,England,1765.0,100.0,True
411,Sky Sports,Gestifute,Premier League,Defender,33.0,Portugal,1461.0,10.0,True
412,Bild,Universal Twenty Two,LaLiga,Attacker,21.0,Sweden,1096.0,40.0,False
413,Sky Sports,Wasserman,Eredivisie,Midfielder,25.0,Netherlands,1461.0,16.0,False
414,Mundo D.,CAA Base Ltd,LaLiga,Attacker,20.0,Spain,1096.0,0.5,False
415,Sky Sports,CK66,Premier League,Attacker,27.0,England,4199.0,120.0,False
416,Talksport,Elite Project Group ...,Bundesliga,Attacker,21.0,England,1765.0,100.0,True
417,L'Equipe,CAA Base Ltd,LaLiga,Defender,28.0,France,4018.0,70.0,False
419,Journalists,Gestifute,Bundesliga,Attacker,25.0,Portugal,659.0,45.0,False
426,Insider,Unique Sports Group,Championship,Midfielder,30.0,England,1422.0,2.0,False
428,Marca,Goal Management,Premier League,Defender,26.0,Spain,2922.0,25.0,False
430,The Athletic,Wasserman,Premier League,Defender,20.0,Wales,912.0,8.0,False
431,Insider,CAA Stellar,Premier League,Defender,28.0,Wales,1442.0,6.0,False
435,Insider,CAA Stellar,Premier League,Midfielder,26.0,England,3652.0,30.0,False
436,Mirror,Unknown,Premier League,Midfielder,28.0,England,2922.0,22.0,True
444,90 Min,Gestifute,Ligue 1,Midfielder,23.0,Portugal,1043.0,30.0,False
445,Express,ESN,LaLiga,Defender,22.0,France,1094.0,60.0,False
446,The Sun,Unknown,Scottish Premiership,Midfielder,19.0,Scotland,1096.0,0.1,False
450,ESPN,CK66,Premier League,Attacker,27.0,England,4199.0,120.0,False
457,Marca,Relatives,LaLiga,Attacker,24.0,France,1771.0,50.0,False
458,Express,CAA Stellar,Premier League,Defender,34.0,Wales,3073.0,1.0,False
